City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Along,IN,77.61,overcast clouds,28.1667,94.7667,Hotel West
11,Colombo,LK,80.55,light rain,6.9319,79.8478,Galle Face Hotel
12,Valentin Gomez Farias,MX,74.43,scattered clouds,28.2167,-106.5833,
14,Atuona,PF,78.33,scattered clouds,-9.8,-139.0333,Villa Enata
15,Hilo,US,74.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
19,Fernley,US,84.74,broken clouds,39.608,-119.2518,Super 8 by Wyndham Fernley
21,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
22,Yambio,SS,72.52,light rain,4.5721,28.3955,Naivasha Hotel
27,Albany,US,73.98,overcast clouds,42.6001,-73.9662,
31,Bengkulu,ID,76.93,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
34,Bethel,US,73.94,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
36,Trairi,BR,88.36,scattered clouds,-3.2778,-39.2689,janelas do mar
37,Tallahassee,US,87.33,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
41,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
42,Katsuura,JP,81.1,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
44,Cidreira,BR,73.99,clear sky,-30.1811,-50.2056,Hotel Castelo
45,Trat,TH,73.76,overcast clouds,12.5,102.5,สวนหนิง-อัศ
46,Cockburn Town,TC,82.17,clear sky,21.4612,-71.1419,Osprey Beach Hotel
50,Glenwood Springs,US,74.88,overcast clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
51,Portland,US,72.73,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
57,Alugan,PH,82.15,broken clouds,12.2188,125.4808,JM Lodge
60,Marawi,PH,73.65,scattered clouds,7.9986,124.2928,Derogongan Residence
62,Butaritari,KI,81.68,light rain,3.0707,172.7902,Isles Sunset Lodge
65,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
66,Laem Sing,TH,79.25,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
70,Kavaratti,IN,80.74,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
73,Coos Bay,US,74.86,mist,43.3665,-124.2179,Best Western Holiday Hotel
75,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
80,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
81,Sao Gabriel Da Cachoeira,BR,80.4,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
83,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
84,Isangel,VU,75.16,broken clouds,-19.55,169.2667,Tanna Lodge
85,Bentiu,SS,71.89,overcast clouds,9.2333,29.8333,Mandela hôtel
89,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
91,Laguna,US,88.43,few clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
92,Lebedyn,UA,78.42,broken clouds,50.5852,34.4849,"The regional Children's multi-resort ""Lebedin"""
95,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
96,Nyalikungu,TZ,73.94,clear sky,-3.1833,33.7833,Pamba hotel
97,Mangrol,IN,79.56,light rain,21.1167,70.1167,Hotel The Royal Honours
100,Buritis,BR,82.92,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
101,Shahr-E Babak,IR,85.78,clear sky,30.1165,55.1186,Duna Ecolodge
102,Celestun,MX,84.85,overcast clouds,20.8667,-90.4,Posada Lilia
104,Palasa,IN,84.27,broken clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
106,Laureles,US,89.58,scattered clouds,26.1092,-97.4941,Los Fresnos Inn
107,Tuy Hoa,VN,82.22,few clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
108,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
109,Vao,NC,70.92,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
110,San Lazaro,BZ,86.52,broken clouds,18.0387,-88.6622,
111,Jamestown,US,81.18,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
113,Cayenne,GF,82.09,fog,4.9333,-52.3333,Hôtel Le Dronmi
115,Uniontown,US,81.43,overcast clouds,39.9001,-79.7164,Fairfield Inn by Marriott Uniontown
119,Tura,IN,76.98,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
121,Saint George,US,87.53,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
123,Mujiayingzi,CN,72.9,overcast clouds,42.1167,118.7833,Jinjiang Hotel
124,Nikolskoye,RU,71.78,broken clouds,59.7035,30.7861,Tourist House - Sablino
126,Touros,BR,85.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
127,Sao Filipe,CV,74.44,broken clouds,14.8961,-24.4956,Hotel Xaguate
128,Nantucket,US,72.01,light rain,41.2835,-70.0995,Jared Coffin House
129,Hals,DK,73.99,overcast clouds,56.9961,10.3081,Hals Hotel
131,Castro,BR,70.2,clear sky,-24.7911,-50.0119,CHACARA BAILLY
132,Newport,GB,75.78,overcast clouds,51.5877,-2.9984,ibis budget Newport
140,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
142,Kaseda,JP,79.84,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
143,Alliance,US,83.57,overcast clouds,40.9153,-81.1059,"Holiday Inn Express & Suites Alliance, an IHG Hotel"
144,Port Harcourt,NG,83.71,overcast clouds,4.7774,7.0134,The Riviera Homes Golf Resort
145,Kloulklubed,PW,83.28,moderate rain,7.0419,134.2556,Storyboard Beach Resort
146,Ponta Do Sol,PT,81.72,clear sky,32.6667,-17.1,Hotel do Campo
149,Vila Franca Do Campo,PT,75.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
150,Dhidhdhoo,MV,80.67,light rain,6.8833,73.1,Dhidhoo beach
152,Romny,UA,76.66,overcast clouds,50.751,33.4747,Floriana
153,Jacqueville,CI,82.31,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
156,Vezirkopru,TR,79.29,few clouds,41.1436,35.4547,Vezirkopru Ogretmenevi
157,Helong,CN,70.41,overcast clouds,42.5397,128.9972,Helong Hotel
160,Eydhafushi,MV,82.17,overcast clouds,5.1033,73.0708,Soneva Fushi
165,Bangonay,PH,79.12,overcast clouds,9.3144,125.5539,Great Lake Mainit Resort
168,Wilmington,US,88.93,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
172,Faanui,PF,77.77,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
174,Shubarkuduk,KZ,79.38,clear sky,49.1447,56.4872,Sirius
177,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
179,Ribeira Grande,PT,73.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
180,Kutum,SD,80.42,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
181,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
182,Dryden,CA,71.89,clear sky,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
183,Puerto Baquerizo Moreno,EC,74.39,few clouds,-0.9,-89.6,Hotel los Algarrobos
184,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
185,Dingle,PH,77.02,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
186,Santa Lucia,ES,72.72,clear sky,27.9117,-15.5407,Las Tirajanas
188,Labuan,MY,84.11,thunderstorm with light rain,5.2767,115.2417,Tiara Labuan Hotel
189,Hithadhoo,MV,80.65,broken clouds,-0.6,73.0833,Scoop Guest House
190,Santiago De Cuba,CU,87.42,broken clouds,20.0247,-75.8219,Cubanacan San Felix
191,Biak,ID,75.31,broken clouds,-0.9131,122.8766,Penginapan Kim
192,Ferrandina,IT,87.08,scattered clouds,40.5012,16.4547,Hotel degli Ulivi
193,Katherine,AU,70.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
194,Marsh Harbour,BS,83.57,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
195,Maunabo,PR,88.65,overcast clouds,18.0072,-65.8993,Maunacaribe
198,Gambo,CF,77.25,overcast clouds,4.6482,22.2633,
