City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,81.18,70,75,3.0,broken clouds
1,Bengkulu,ID,-3.8004,102.2655,76.93,89,3,4.79,clear sky
2,East London,ZA,-33.0153,27.9116,63.91,56,8,11.43,clear sky
3,Mahebourg,MU,-20.4081,57.7,71.89,64,40,10.36,scattered clouds
4,Castro,BR,-24.7911,-50.0119,70.2,39,1,9.69,clear sky
5,Avarua,CK,-21.2078,-159.775,71.65,100,90,5.75,overcast clouds
6,Busselton,AU,-33.65,115.3333,58.08,67,39,18.77,scattered clouds
7,Martinho Campos,BR,-19.3317,-45.2369,78.28,26,0,6.6,clear sky
8,Talnakh,RU,69.4865,88.3972,55.26,93,100,5.39,overcast clouds
9,Bredasdorp,ZA,-34.5322,20.0403,61.92,55,100,4.61,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,69.89,65,96,4.07,overcast clouds
11,Thompson,CA,55.7435,-97.8558,55.56,58,20,9.22,few clouds
12,Vaini,TO,-21.2,-175.2,66.36,100,20,2.3,fog
13,Mataura,NZ,-46.1927,168.8643,43.74,88,100,4.63,overcast clouds
14,Acapulco,MX,16.8634,-99.8901,85.82,74,40,4.61,scattered clouds
15,Hithadhoo,MV,-0.6,73.0833,80.65,77,80,4.14,broken clouds
16,Severo-Kurilsk,RU,50.6789,156.125,53.49,98,84,3.29,broken clouds
17,Ushuaia,AR,-54.8,-68.3,37.06,81,40,9.22,scattered clouds
18,Fort Nelson,CA,58.8053,-122.7002,60.39,67,75,5.75,broken clouds
19,Murakami,JP,38.2333,139.4833,73.31,89,0,5.14,clear sky
20,Hobart,AU,-42.8794,147.3294,42.66,76,63,1.01,broken clouds
21,Manado,ID,1.487,124.8455,83.17,61,40,9.22,scattered clouds
22,Sao Filipe,CV,14.8961,-24.4956,74.44,72,61,6.51,broken clouds
23,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,61,0,17.27,clear sky
24,Sirvintos,LT,55.05,24.95,83.75,68,56,5.48,broken clouds
25,Port-Gentil,GA,-0.7193,8.7815,80.56,69,75,10.36,broken clouds
26,Mana,GF,5.6592,-53.7767,76.53,89,100,3.24,overcast clouds
27,Nouadhibou,MR,20.931,-17.0347,76.98,73,0,16.11,clear sky
28,Cidreira,BR,-30.1811,-50.2056,73.99,51,9,5.14,clear sky
29,Dingle,PH,10.9995,122.6711,77.02,90,64,7.27,broken clouds
30,Ribeira Grande,PT,38.5167,-28.7,73.8,78,40,8.05,scattered clouds
31,Upernavik,GL,72.7868,-56.1549,41.79,81,55,8.79,broken clouds
32,Solnechnyy,RU,50.7214,136.6319,73.92,69,100,2.59,moderate rain
33,Guerrero Negro,MX,27.9769,-114.0611,72.14,71,71,9.86,broken clouds
34,Hambantota,LK,6.1241,81.1185,80.94,94,75,10.36,broken clouds
