City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-07-20 20:15:07,-53.15,-70.9167,42.12,73,20,11.5
1,Mbanza-Ngungu,CD,2021-07-20 20:17:54,-5.25,14.8667,74.23,40,1,4.47
2,Ribeira Grande,PT,2021-07-20 20:17:54,38.5167,-28.7,72.0,83,40,16.11
3,Busselton,AU,2021-07-20 20:13:17,-33.65,115.3333,53.1,93,100,12.59
4,Port Alfred,ZA,2021-07-20 20:17:54,-33.5906,26.891,56.71,81,100,27.51
5,Nemuro,JP,2021-07-20 20:14:16,43.3236,145.575,59.83,97,98,7.87
6,Riyadh,SA,2021-07-20 20:17:14,24.6877,46.7219,96.94,18,100,5.5
7,Evensk,RU,2021-07-20 20:17:55,61.95,159.2333,53.58,83,97,3.91
8,Turcianske Teplice,SK,2021-07-20 20:17:55,48.8623,18.8605,60.22,94,14,5.01
9,Hay River,CA,2021-07-20 20:15:18,60.8156,-115.7999,65.57,58,42,5.86
10,Kapaa,US,2021-07-20 20:17:55,22.0752,-159.319,82.38,78,75,5.01
11,Muzhi,RU,2021-07-20 20:17:56,65.3667,64.6667,54.19,72,29,10.96
12,Koumac,NC,2021-07-20 20:17:56,-20.5667,164.2833,68.92,75,90,4.99
13,Cape Town,ZA,2021-07-20 20:14:16,-33.9258,18.4232,48.11,90,57,1.01
14,Los Llanitos,HN,2021-07-20 20:17:56,13.2869,-87.3344,97.25,34,39,8.19
15,Anito,PH,2021-07-20 20:13:51,12.4497,125.2886,79.86,83,100,8.75
16,Albany,US,2021-07-20 20:17:57,42.6001,-73.9662,87.13,64,15,8.55
17,Rabo De Peixe,PT,2021-07-20 20:14:41,37.8,-25.5833,71.11,94,75,14.97
18,Leninogorsk,RU,2021-07-20 20:17:57,54.6026,52.4609,66.2,97,100,6.87
19,Raudeberg,NO,2021-07-20 20:17:57,61.9875,5.1352,55.0,73,10,14.5
20,Borba,BR,2021-07-20 20:17:58,-4.3878,-59.5939,93.06,37,62,1.59
21,Mehran,IR,2021-07-20 20:17:58,33.1222,46.1646,98.08,11,0,7.4
22,Avarua,CK,2021-07-20 20:13:00,-21.2078,-159.775,78.85,83,20,17.27
23,Bubaque,GW,2021-07-20 20:17:58,11.2833,-15.8333,82.18,80,100,11.61
24,Churachandpur,IN,2021-07-20 20:17:58,24.3333,93.6667,68.29,99,100,0.96
25,Barrow,US,2021-07-20 20:17:54,71.2906,-156.7887,37.42,95,90,19.57
26,Saint-Augustin,CA,2021-07-20 20:17:59,51.226,-58.6502,66.67,72,76,7.47
27,Bluff,NZ,2021-07-20 20:17:59,-46.6,168.3333,41.81,78,100,11.59
28,Assens,DK,2021-07-20 20:17:59,55.2702,9.9008,64.26,84,21,16.04
29,Tuatapere,NZ,2021-07-20 20:17:59,-46.1333,167.6833,41.83,87,100,6.35
30,Port Elizabeth,ZA,2021-07-20 20:18:00,-33.918,25.5701,51.1,81,100,22.5
31,Hithadhoo,MV,2021-07-20 20:18:00,-0.6,73.0833,80.83,79,90,9.55
32,Gariaband,IN,2021-07-20 20:18:00,20.635,82.0614,75.34,93,100,6.17
33,Hermanus,ZA,2021-07-20 20:18:00,-34.4187,19.2345,47.89,69,8,8.55
34,Rawson,AR,2021-07-20 20:18:01,-43.3002,-65.1023,56.93,38,77,14.63
35,Mataura,NZ,2021-07-20 20:18:01,-46.1927,168.8643,41.49,90,100,3.49
36,Longyearbyen,SJ,2021-07-20 20:18:01,78.2186,15.6401,40.84,75,75,3.44
37,Hamilton,US,2021-07-20 20:13:38,39.1834,-84.5333,88.21,59,1,1.01
38,Dikson,RU,2021-07-20 20:13:33,73.5069,80.5464,44.8,71,100,12.68
39,Havelock,US,2021-07-20 20:18:02,34.8791,-76.9013,82.36,89,93,7.0
40,Mundgod,IN,2021-07-20 20:18:02,14.9667,75.0333,71.01,96,100,10.04
41,Qaanaaq,GL,2021-07-20 20:13:03,77.484,-69.3632,40.24,77,99,2.33
42,Ushuaia,AR,2021-07-20 20:18:02,-54.8,-68.3,35.26,69,75,13.8
43,Lewiston,US,2021-07-20 20:14:24,44.1003,-70.2148,81.23,92,75,0.0
44,Florence,IT,2021-07-20 20:15:22,43.7667,11.25,81.7,45,0,3.44
45,North Myrtle Beach,US,2021-07-20 20:17:26,33.816,-78.68,83.35,82,20,1.01
46,Kailua,US,2021-07-20 20:17:39,21.4022,-157.7394,85.98,65,40,13.8
47,Providencia,MX,2021-07-20 20:18:03,28.7167,-111.5833,104.56,40,37,7.0
48,Borogontsy,RU,2021-07-20 20:18:03,62.6683,131.1683,63.36,75,99,4.21
49,Rikitea,PF,2021-07-20 20:18:03,-23.1203,-134.9692,71.49,65,100,24.58
50,Husavik,IS,2021-07-20 20:18:04,66.0449,-17.3389,73.31,75,7,5.23
51,Oranjemund,NA,2021-07-20 20:13:04,-28.55,16.4333,52.45,72,0,12.37
52,Yellowknife,CA,2021-07-20 20:18:04,62.456,-114.3525,74.28,43,75,4.61
53,Matadi,CD,2021-07-20 20:18:04,-5.8167,13.45,74.75,70,1,8.28
54,Tarutyne,UA,2021-07-20 20:18:05,46.1858,29.1506,72.36,81,27,7.47
55,Jiaojiang,CN,2021-07-20 20:18:05,28.6803,121.4428,78.01,93,1,8.21
56,Ola,RU,2021-07-20 20:18:05,59.5833,151.2833,53.98,92,100,4.68
57,Sabzevar,IR,2021-07-20 20:18:05,36.2126,57.6819,82.56,18,0,8.46
58,Orlik,RU,2021-07-20 20:18:05,52.5178,99.825,52.81,92,100,0.72
59,Mitsamiouli,KM,2021-07-20 20:18:06,-11.3847,43.2844,77.72,75,2,6.33
60,Golyshmanovo,RU,2021-07-20 20:18:06,56.3979,68.3728,62.2,86,74,5.99
61,Caucaia,BR,2021-07-20 20:14:19,-3.7361,-38.6531,85.06,71,0,12.66
62,Norman Wells,CA,2021-07-20 20:18:06,65.282,-126.8329,77.04,47,20,17.27
63,Ogbomosho,NG,2021-07-20 20:18:07,8.133,4.25,74.03,87,100,5.21
64,Havre-Saint-Pierre,CA,2021-07-20 20:18:07,50.2334,-63.5986,70.16,60,1,6.91
65,Hofn,IS,2021-07-20 20:18:07,64.2539,-15.2082,54.37,89,69,7.7
66,Atuona,PF,2021-07-20 20:18:07,-9.8,-139.0333,76.69,79,26,24.25
67,Surt,LY,2021-07-20 20:18:08,31.2089,16.5887,79.14,69,0,9.51
68,Lazaro Cardenas,MX,2021-07-20 20:18:08,17.9583,-102.2,86.54,68,100,6.62
69,Doha,QA,2021-07-20 20:17:26,25.2867,51.5333,95.31,67,0,12.66
70,Viedma,AR,2021-07-20 20:18:08,-40.8135,-62.9967,60.22,45,21,12.19
71,Ponta Do Sol,PT,2021-07-20 20:18:08,32.6667,-17.1,73.71,79,0,2.73
72,Jamestown,US,2021-07-20 20:18:09,42.097,-79.2353,84.09,57,20,9.22
73,Esperance,AU,2021-07-20 20:18:09,-33.8667,121.9,54.7,93,100,19.06
74,Adrar,MR,2021-07-20 20:18:09,20.5022,-10.0711,100.15,7,14,12.03
75,Komsomolskiy,UZ,2021-07-20 20:18:10,40.4272,71.7189,72.32,60,75,13.8
76,Airai,TL,2021-07-20 20:18:10,-8.9266,125.4092,55.54,87,29,3.74
77,Ketchikan,US,2021-07-20 20:18:10,55.3422,-131.6461,57.67,94,90,6.91
78,Virginia Beach,US,2021-07-20 20:15:22,36.8529,-75.978,89.04,50,75,4.61
79,Kirakira,SB,2021-07-20 20:18:10,-10.4544,161.9205,77.43,86,42,7.25
80,Homer,US,2021-07-20 20:18:11,59.6425,-151.5483,60.08,83,90,3.44
81,Isangel,VU,2021-07-20 20:18:11,-19.55,169.2667,74.75,89,11,5.12
82,Svetlogorsk,BY,2021-07-20 20:18:11,52.6333,29.7333,65.44,74,98,6.31
83,Arraial Do Cabo,BR,2021-07-20 20:18:11,-22.9661,-42.0278,67.96,60,0,10.36
84,Nikolskoye,RU,2021-07-20 20:18:12,59.7035,30.7861,60.4,92,91,6.11
85,Fort Nelson,CA,2021-07-20 20:15:06,58.8053,-122.7002,75.4,42,51,2.21
86,Vaini,TO,2021-07-20 20:18:12,-21.2,-175.2,75.36,94,20,4.61
87,Hobart,AU,2021-07-20 20:18:12,-42.8794,147.3294,43.05,81,20,3.0
88,Itaituba,BR,2021-07-20 20:18:12,-4.2761,-55.9836,89.76,62,75,5.75
89,Itarema,BR,2021-07-20 20:18:13,-2.9248,-39.9167,81.34,76,6,17.45
90,Vila Velha,BR,2021-07-20 20:15:05,-20.3297,-40.2925,71.55,53,0,18.41
91,Fortuna,US,2021-07-20 20:18:13,40.5982,-124.1573,89.47,76,43,4.0
92,Nouadhibou,MR,2021-07-20 20:18:13,20.931,-17.0347,75.18,78,1,10.36
93,Ternate,ID,2021-07-20 20:18:14,0.8,127.4,79.27,80,78,2.86
94,Kodiak,US,2021-07-20 20:13:21,57.79,-152.4072,60.31,77,90,10.36
95,Pevek,RU,2021-07-20 20:18:14,69.7008,170.3133,40.98,77,100,0.94
96,Tasiilaq,GL,2021-07-20 20:18:14,65.6145,-37.6368,42.96,95,91,5.97
97,Chuy,UY,2021-07-20 20:18:15,-33.6971,-53.4616,53.42,67,8,9.24
98,Lagoa,PT,2021-07-20 20:18:15,39.05,-27.9833,68.52,88,2,22.68
99,Along,IN,2021-07-20 20:18:15,28.1667,94.7667,75.99,98,100,1.66
100,Muros,ES,2021-07-20 20:14:03,42.7762,-9.0603,68.5,85,61,9.62
101,Matara,LK,2021-07-20 20:18:15,5.9485,80.5353,80.08,83,100,14.58
102,Lodja,CD,2021-07-20 20:18:16,-3.4833,23.4333,76.89,34,99,0.6
103,Havre,FR,2021-07-20 20:18:16,49.5833,0.3333,73.83,64,0,5.75
104,Carnarvon,AU,2021-07-20 20:18:16,-24.8667,113.6333,68.07,81,90,5.75
105,Damghan,IR,2021-07-20 20:18:17,36.1683,54.348,79.81,28,0,3.87
106,Torbay,CA,2021-07-20 20:18:17,47.6666,-52.7314,72.88,93,75,11.5
107,Port Lincoln,AU,2021-07-20 20:15:07,-34.7333,135.8667,51.04,60,100,4.56
108,Shingu,JP,2021-07-20 20:13:27,33.7333,135.9833,73.9,92,38,6.6
109,Arica,CL,2021-07-20 20:18:17,-18.475,-70.3042,61.03,77,90,8.05
110,Sioux Lookout,CA,2021-07-20 20:18:18,50.1001,-91.917,71.67,33,40,2.3
111,Bathsheba,BB,2021-07-20 20:18:18,13.2167,-59.5167,84.81,74,40,19.57
112,Sola,VU,2021-07-20 20:14:39,-13.8833,167.55,79.45,75,64,8.99
113,Progreso,MX,2021-07-20 20:18:18,21.2833,-89.6667,96.12,61,6,14.7
114,Bengkulu,ID,2021-07-20 20:18:18,-3.8004,102.2655,75.02,89,32,3.53
115,Khatanga,RU,2021-07-20 20:18:19,71.9667,102.5,54.79,78,100,7.09
116,Baykit,RU,2021-07-20 20:18:19,61.67,96.37,51.44,93,29,1.14
117,Beirut,LB,2021-07-20 20:13:24,33.8889,35.4944,81.34,65,40,9.22
118,Souillac,MU,2021-07-20 20:13:24,-20.5167,57.5167,71.37,70,77,20.07
119,Ilulissat,GL,2021-07-20 20:18:19,69.2167,-51.1,48.22,66,40,6.91
120,Bredasdorp,ZA,2021-07-20 20:18:19,-34.5322,20.0403,45.72,81,42,10.36
121,Isla Mujeres,MX,2021-07-20 20:18:20,21.2311,-86.731,89.65,69,0,10.31
122,Meridian,US,2021-07-20 20:13:38,43.6121,-116.3915,90.84,40,1,4.61
123,Hong Gai,VN,2021-07-20 20:18:20,20.956,107.0946,80.51,89,100,5.06
124,Faanui,PF,2021-07-20 20:18:21,-16.4833,-151.75,78.98,76,11,21.65
125,Esso,RU,2021-07-20 20:18:21,55.9333,158.7,59.88,86,98,4.27
126,Taunggyi,MM,2021-07-20 20:18:21,20.7833,97.0333,64.53,98,100,3.53
127,Lingao,CN,2021-07-20 20:18:21,19.9103,109.6859,82.18,81,100,14.63
128,Nome,US,2021-07-20 20:18:22,64.5011,-165.4064,53.17,93,90,13.8
129,Sterling,US,2021-07-20 20:15:37,39.0062,-77.4286,93.94,46,20,1.99
130,Puerto Ayora,EC,2021-07-20 20:18:22,-0.7393,-90.3518,82.36,86,93,8.99
131,Lebu,CL,2021-07-20 20:18:22,-37.6167,-73.65,55.47,88,100,11.01
132,Sungaipenuh,ID,2021-07-20 20:13:47,-2.0833,101.3833,61.11,83,51,1.86
133,Butaritari,KI,2021-07-20 20:18:23,3.0707,172.7902,82.31,74,100,6.4
134,Sabha,LY,2021-07-20 20:18:23,27.0377,14.4283,89.64,15,0,9.62
135,Castro,BR,2021-07-20 20:18:23,-24.7911,-50.0119,54.21,57,94,3.2
136,Victoria,HK,2021-07-20 20:18:23,22.2855,114.1577,80.65,93,100,11.01
137,Imbituba,BR,2021-07-20 20:18:24,-28.24,-48.6703,60.69,72,100,5.66
138,Flinders,AU,2021-07-20 20:18:24,-34.5833,150.8552,51.19,60,100,7.0
139,Mbandaka,CD,2021-07-20 20:18:24,0.0487,18.2603,78.03,46,83,1.9
140,Poum,NC,2021-07-20 20:18:24,-20.2333,164.0167,69.87,70,14,13.27
141,Kapit,MY,2021-07-20 20:18:25,2.0167,112.9333,73.33,98,45,0.94
